id,email,password,name,surname,date_of_birth,date_of_registration,FavoriteRecipes,ChoosedRecipes 
1,mail,jajajaja,a b c,Zeds,,,dfdsdfs jaja ser bulka chleb,ddcsdfs
2,sda,jajajaja,Mac,Roz,,,ddsfcdsf ser,
3,jaja,jajajaja,Man,kan,,,  ser,d
4,flora@gmail,florka,Dominik,zebrowsk,,,,
5,fredfx@gmai.com,fsd,fgdfg,fgddfggf,,,  jajecznica jajka,   
6,mariusz@gmail.com,Mariusz,Maciej,Rozio,,, , 
7,flora@gmail.com,123,ggg,bbb,,, , 
8,fds,fds,Fff,FFfds,,,  dario ds, 
9,FFFds,FFfdg,FDFFF,FFFFdf,,, , 
10,fgd,gdf,Fghh,Gghhh,,, , 
11,fdsdfs,fdsfsd,FFFFfdfds,FFFFFFfdfsd,,, , 
12,kkkk,423,KkkkkK,KkkkK,,,  serek jajko ,  serek  ser
13,gffgfggfnnnn,gffg,FffF,FfffF,,, , 
14,dom@gmail.com,6666,Dom,Zeb,,, , 
15,ggg,aaaaaaaa!1A,ggg,ggg,,, , 
16,nowy@email.com,haslo123,Jan,Kowalski,,,,
17,nowy@email.com,haslo123,Jan,Kowalski,,,,
18,nowy@email.com,haslo123,Jan,Kowalski,,,,
19,nowy@email.com,haslo123,Jan,Kowalski,,,,
20,nowy@email.com,haslo123,Jan,Kowalski,,,,
21,frexorpla@gmail.com,Flora!!!123Gggg,Dominik,Zeb,2003-05-23,,,
22,frexorplay@gmail.com,aaaaaaaa!1A,Dominik,Zeb,2003-05-23,2023-11-10,,
